gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
yfaL	0.0003048326224381599	3.0	0.4499745700582876	0.0008770614865625727	0.4499745700582876	0.03681524522427814	12.222506391497506	2.3570388593451715e-34	3.0	7.269794183037789e-34	8.463864522134672e-12	8.0	-3.0264264802556027	1.446917792117308e-11	-3.0264264802556027	1.265721296654408	-2.391068624866424	0.016799412504275885	8.0	0.02282736218408419
yfaP											2.631577338506257e-35	3.0	-2.7625215780341303	1.0884058347047768e-34	-2.7625215780341303	1.1099285654552435	-2.488918353859166	0.012813238735974387	3.0	0.0180107780196351
yfaY											2.0216730732208375e-08	4.0	-1.0668079558326924	2.9551328716868107e-08	-1.0668079558326924	0.14408543053577125	-7.403996031145163	1.321463751551989e-13	4.0	6.035693216376133e-13
yfaZ											0.0012478877132401974	2.0	-2.7198898697626492	0.0013809854779692691	-2.7198898697626492	1.1539350195953895	-2.3570563537592775	0.018420451203421367	2.0	0.024712040291585465
yfbS											5.486929999429578e-06	2.0	-1.0235967623219002	7.075459302425354e-06	-1.0235967623219002	0.17162001918611114	-5.9643202883684205	2.4565446568284232e-09	2.0	8.180886194818219e-09
yfbV											3.8797260495628917e-23	2.0	-2.134007710801869	1.0347857739918856e-22	-2.134007710801869	0.8802203726139854	-2.4244016353138003	0.015333636652435485	2.0	0.021026644607426814
yfcC											4.66152741369442e-08	2.0	-1.4935213274260266	6.693953366065187e-08	-1.4935213274260266	0.36081227232074875	-4.139330732349207	3.4832049146104966e-05	2.0	7.671598554264836e-05
yfcH	0.0013916070083276413	3.0	0.33737108309375036	0.0028724195941121824	0.33737108309375036	0.035899156461923466	9.397744023639772	5.574545129277997e-21	3.0	1.1275147811730623e-20	5.429559108677511e-10	2.0	-1.6727225028103927	8.594407936575072e-10	-1.6727225028103927	0.5499362469985503	-3.0416662148381763	0.00235272628810455	2.0	0.003842714910962391
yfcJ											1.0306520020212357e-10	3.0	-1.3145447441876688	1.6757430648805415e-10	-1.3145447441876688	0.5846465372191668	-2.2484435646197705	0.02454791990666842	3.0	0.031930084226427395
yfcU											1.0878113411743678e-08	4.0	-1.671340349646203	1.623126647886941e-08	-1.671340349646203	0.5303922576576521	-3.151140171289961	0.0016263441893101006	4.0	0.002718145083623492
yfdV											0.0005217581292156118	2.0	-1.178597421010537	0.0005943672850801953	-1.178597421010537	0.3908762551799437	-3.015269936179567	0.0025675063939753257	2.0	0.0041669746629165545
yfeH											9.810495029242936e-55	3.0	-3.924506374432608	7.187689215302479e-54	-3.924506374432608	1.4722362323381066	-2.665677075614401	0.007683345649235344	3.0	0.011360465766373512
yfeR											6.655104193039147e-19	5.0	-1.86280665798418	1.5354642707590318e-18	-1.86280665798418	0.4715744853741604	-3.9501854230009434	7.809067237550921e-05	5.0	0.00016432914057917824
yfgF											4.33926427952992e-11	2.0	-1.1308131474847078	7.178782840328302e-11	-1.1308131474847078	0.2567872785605558	-4.403696140336791	1.0642197688684632e-05	2.0	2.5036362845594908e-05
yfgM											5.389252996355684e-23	3.0	-2.216049565948035	1.4246994298171508e-22	-2.216049565948035	0.35080491884630477	-6.317042455493431	2.666163565022279e-10	3.0	9.687780565212531e-10
yfhM	0.01087704017413319	4.0	0.46995244373749934	0.014425069753174988	0.46995244373749934	0.0746151974848433	6.2983475160400335	3.008354610531325e-10	4.0	4.340009787594474e-10	0.0008276207931846726	4.0	-1.003526247129201	0.0009308141126356436	-1.003526247129201	0.3383993788919778	-2.96550853732371	0.0030218295806359093	4.0	0.00482578656338208
yfiC											3.915751456279702e-12	3.0	-1.2092859734911459	6.824052295167053e-12	-1.2092859734911459	0.20848725619541145	-5.800287248049844	6.620141790128377e-09	3.0	2.1449737388592848e-08
yfiF											7.594680036957072e-18	4.0	-2.9079298005298986	1.6830186007824624e-17	-2.9079298005298986	1.266487002673423	-2.29605972614923	0.021672466633687295	4.0	0.028562465203721507
yfiH											3.261223533149875e-14	2.0	-1.6872581966252316	6.168489190731323e-14	-1.6872581966252316	0.14368878317840583	-11.742448918440003	7.721761692832753e-32	2.0	8.20151611753538e-31
yfiP											2.6261276453700803e-18	3.0	-1.2994712110115207	5.929432859672068e-18	-1.2994712110115207	0.3530372247554739	-3.6808334076146805	0.00023247286212979036	3.0	0.00045357476904671053
yfjP											0.03387024181921649	3.0	-0.7041603888842133	0.034174864567450024	-0.7041603888842133	0.15305995847786916	-4.600552593159284	4.213716106923236e-06	3.0	1.027665816837936e-05
yfjT											8.518196108969603e-08	3.0	-1.345885296145103	1.20870845973126e-07	-1.345885296145103	0.4920567431175948	-2.73522376223885	0.006233788407583353	3.0	0.00937363135331218
ygaY	0.002900623312430624	3.0	0.3844676354105825	0.005235429969745858	0.3844676354105825	0.04260334904582474	9.024352404714566	1.807613165461541e-19	3.0	3.5404588763906095e-19	0.0005300329008646012	2.0	-0.5679361126046306	0.0006029208219594164	-0.5679361126046306	0.018236471882811855	-31.142872165965326	6.334280762636008e-213	2.0	2.773179016812594e-211
ygcQ											0.0016292812203498978	3.0	-0.8730907673951572	0.0017854455375629222	-0.8730907673951572	0.06142427604119095	-14.214099435370878	7.490888798823365e-46	3.0	1.129928184360331e-44
