gene	gene_pval_positive	ngrna_lfc_positive	fdr_gene_positive	gene_lfc_positive	gene_pval_negative	ngrna_lfc_negative	fdr_gene_negative	gene_lfc_negative
glnW	0.8345656261925455	2.0	0.9994630414401307		5.4836419619586496e-11	3.0	1.6994157187879652e-10	-6.4207918052111115
glnX					0.00016791784115320296	2.0	0.00034892132996949544	-6.832202846761003
gloA	0.11206320121384154	3.0	0.32089704646927625	0.35317456661762603	0.9392013472306558	5.0	0.9995334312006408	
gloB	0.07449955175171964	8.0	0.2415047761519616	0.501919773042578	0.00015868059884347816	6.0	0.0003311124050447157	-0.6639618620843999
glpA	0.1134784727424792	21.0	0.32423607548601485	0.3849009698506149	0.8508078324768518	15.0	0.9962627774706974	
glpB	0.0010192719896568337	17.0	0.009896066108533885	0.4586503665138466	3.095042623957068e-19	7.0	1.431502252035091e-18	-3.843372925750829
glpC	0.5046293178663146	11.0	0.9048966172570961		4.968646891697641e-12	16.0	1.6223851109953623e-11	-4.107507154213436
glpD	0.9418945240884498	8.0	0.9994630414401307		1.6691575447354522e-41	28.0	1.7224838766841432e-40	-1.0306599414678081
glpE	0.7538781117433537	2.0	0.9994630414401307		2.6294830569962865e-28	5.0	1.6931825260042537e-27	-4.085870011024865
glpF	0.994492382809827	7.0	0.9994630414401307		4.396811142203168e-05	14.0	9.651121916007285e-05	-1.746073045540941
glpG	0.010141822147049439	7.0	0.05829680683348153	0.520002019039863	0.0003462516916335297	7.0	0.0007007936682934352	-1.9719054149684088
glpK	0.10299368032514589	15.0	0.30270648296412567	0.40062055288213916	1.2619165747834617e-49	17.0	1.6492087340837806e-48	-1.893262940861117
glpQ	0.9855636312211691	15.0	0.9994630414401307		0.9925499737478396	10.0	0.9995334312006408	
glpR	0.47412910360797234	7.0	0.8749531401332936		0.9830915337363813	9.0	0.9995334312006408	
glpT	0.38334267741027406	14.0	0.7653127723438873	0.5173598676742797	2.663187174626108e-23	10.0	1.4183435180683015e-22	-3.117595631096488
glpX	0.6982086975863561	14.0	0.9994630414401307		1.1281362970337898e-13	6.0	4.0270310045959093e-13	-0.9722924480472532
glrK	0.9080192436923147	26.0	0.9994630414401307		0.008199274957892293	7.0	0.01436952774931896	-9.26337263600616
glrR	0.5903483689080355	18.0	0.9846708050632746	0.28379649587522704	2.877916502410509e-09	12.0	8.172953727002825e-09	-1.0070210806034885
gltA	0.7183734998675654	6.0	0.9994630414401307		1.4404427929733135e-14	15.0	5.294060329771484e-14	-1.0761468494478272
gltB	3.856920129590819e-05	59.0	0.000727225085304008	0.47807876616780914	1.0638229821000556e-22	40.0	5.54667809433533e-22	-1.6697327413742133
gltD	0.00012842230828668557	28.0	0.001913100264286007	0.4730133781748426	0.8854446180449146	5.0	0.9995334312006408	
gltF	0.9898265736430815	11.0	0.9994630414401307		0.9032945130187641	2.0	0.9995334312006408	
gltI	1.4622507816864776e-05	11.0	0.00033712317432226094	0.42621725255942405	0.034438620896348054	7.0	0.05600681163372526	-0.8048233694738072
gltJ	0.3539621289679398	7.0	0.7245506136712724		0.1627178808258066	4.0	0.23802582493406832	-0.22816327933267458
gltK	0.3856125173936754	4.0	0.7686647882469434		0.8208262175246739	4.0	0.9752220580817971	
gltL	0.7487602516272079	12.0	0.9994630414401307		0.46019002300347245	4.0	0.6068154534991026	
gltP	0.004188435218154331	9.0	0.029940407795707613	0.4649798908311524	2.2509758639090367e-36	12.0	1.9829550127074507e-35	-1.38696651347857
gltS	0.014659477734740451	22.0	0.07638977516514284	0.430044709885564	6.662793919722026e-08	11.0	1.7530649167586498e-07	-4.7363054704717955
gltT	0.00601426626287713	3.0	0.03899282595350405	0.5489825466671787	1.0783766060355564e-16	11.0	4.476896818996097e-16	-7.812362468147747
gltU	0.00601426626287713	3.0	0.03899282595350405	0.5489825466671787	1.0783766060355564e-16	11.0	4.476896818996097e-16	-7.812362468147747
gltV	0.00601426626287713	3.0	0.03899282595350405	0.5489825466671787	1.0783766060355564e-16	11.0	4.476896818996097e-16	-7.812362468147747
gltW	0.00601426626287713	3.0	0.03899282595350405	0.5489825466671787	1.0783766060355564e-16	11.0	4.476896818996097e-16	-7.812362468147747
gltX	0.450012330380662	3.0	0.8468650556777839		6.393585381992324e-31	18.0	4.519878064529449e-30	-6.570386428680592
gluQ	0.943691253024649	7.0	0.9994630414401307		0.17515031093367708	8.0	0.2547116344580889	-1.4011383267442739
glvB	0.7697750107355038	3.0	0.9994630414401307		0.8274904856681506	3.0	0.9805009542378654	
glvC	0.0015826534533572023	18.0	0.014167652358837525	0.46446289506663285	1.3737191517492526e-40	11.0	1.3887496666411655e-39	-6.239630812404213
glvG	0.8849892264873983	4.0	0.9994630414401307		0.9195066972752858	3.0	0.9995334312006408	
glxK	0.36099196108062054	13.0	0.7315294058830188	0.4117212919399968	1.1809866989597597e-34	11.0	9.857269233124212e-34	-2.6973734798808686
glxR	0.23990093497671106	10.0	0.5577401102507066	0.9863469962453443	0.8504888588604559	3.0	0.9962627774706974	
glyA	0.9670212466499504	9.0	0.9994630414401307		3.678201404040519e-15	18.0	1.4011020305132292e-14	-3.871713048293345
glyQ					3.218558378815816e-85	30.0	1.3603545147909828e-83	-6.002100449176139
glyS					7.30952124146033e-54	37.0	1.1212636251861732e-52	-6.415011036769114
glyT								-4.857824006510577
glyV	0.08839942258849771	2.0	0.27247144962903874	0.6843737043348443	1.1142196980980725e-16	3.0	4.616053034977728e-16	-8.020015647534965
glyW	0.08839942258849771	2.0	0.27247144962903874	0.6843737043348443	7.428131320653817e-17	2.0	3.122959337244192e-16	-7.616621570674182
glyX	0.12962403961908026	3.0	0.35403962675526257	0.6843737043348443	7.428131320653817e-17	2.0	3.122959337244192e-16	-5.8044520602625305
glyY	0.08839942258849771	2.0	0.27247144962903874	0.6843737043348443	7.428131320653817e-17	2.0	3.122959337244192e-16	-7.616621570674182
gmd	0.06689563202516069	13.0	0.22546947477910376	0.5327387411424155	2.13464699160707e-12	16.0	7.09109740606596e-12	-1.049015666887264
gmhB	0.28807253635390795	5.0	0.6323662032560758		8.973955179433375e-22	7.0	4.5476433581490815e-21	-2.39601369457616
gmk					2.8788360654235526e-25	9.0	1.6600313044887917e-24	-7.907384551971739
gmm	0.1213585416088093	3.0	0.3391909922947467	0.5374126210800616	0.984878117600621	3.0	0.9995334312006408	
gmr	0.6620857948593826	14.0	0.9994630414401307		0.2985316349606534	16.0	0.4154347410503243	-0.31319414209965196
gnd	0.9633347194335244	10.0	0.9994630414401307		0.23566877868974886	6.0	0.33492536441726933	-0.6620439255960527
gntK	0.6420345788365585	5.0	0.9994630414401307		0.24997230456743882	6.0	0.35380832420606856	-1.4415182705220164
gntP	1.16076540198215e-06	19.0	4.92987873631587e-05	0.5285167629770411	0.0004551019191068205	11.0	0.000909517064693862	-4.254226184641415
gntR	0.8479865242299717	7.0	0.9994630414401307		5.899310465034116e-31	12.0	4.177889568196175e-30	-2.2828275187726743
gntT	0.9711627526654592	9.0	0.9994630414401307		6.065985988624308e-05	13.0	0.00013119304481657253	-4.001948096384759
