gene	gene_pval_positive	ngrna_lfc_positive	gene_lfc_positive	fdr_gene_positive_rra	mean_log2FC_positive	SEM_positive	z_positive	pval_gene_positive	ngrna_tested_positive	fdr_gene_positive_wald	gene_pval_negative	ngrna_lfc_negative	gene_lfc_negative	fdr_gene_negative_rra	mean_log2FC_negative	SEM_negative	z_negative	pval_gene_negative	ngrna_tested_negative	fdr_gene_negative_wald
insEF-5	3.650603037159982e-05	10.0	0.4346199812813988	0.00015070438179045053	0.4346199812813988	0.02791380064796865	15.570075417624187	1.1627005181159266e-54	10.0	4.978584665336813e-54	3.0409127826738316e-05	6.0	-2.1280078625247003	3.754084212448094e-05	-2.1280078625247003	1.4000613412511003	-1.5199390196883118	0.1285263024856137	6.0	0.1386446592317768
insH-1	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-10	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-11	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-2	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-3	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-4	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-5	1.2114840210387769e-05	5.0	0.37105249900044057	5.8749676923868395e-05	0.37105249900044057	0.03522107295662993	10.534957281322532	5.961033596338736e-26	5.0	1.4072234736224877e-25	3.171339362424485e-18	6.0	-1.066711972210739	7.13352651071673e-18	-1.066711972210739	0.36745033728399334	-2.9030099144698935	0.003695949363232398	6.0	0.005824608522389952
insH-6	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	3.1417366512347588e-30	8.0	-1.1462531388848622	1.0700981572991256e-29	-1.1462531388848622	0.23030553320287075	-4.977097696889265	6.454474829997675e-07	8.0	1.731806026882784e-06
insH-7	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
insH-8	5.051916623834664e-07	8.0	0.38303456182625617	4.469003167238357e-06	0.38303456182625617	0.03559548640191965	10.760762123076347	5.273224208781508e-27	8.0	1.2747584048255597e-26	5.1053220582564834e-30	13.0	-1.7709998968214447	1.7065275781322882e-29	-1.7709998968214447	0.5595006932403882	-3.165322077734296	0.0015491137112495087	13.0	0.002603613400461487
